Age,Beginner,Novice,Intermediate,Advanced,Elite,WR
10,08:13,06:52,05:52,05:08,04:36,03:17
15,07:07,05:57,05:05,04:27,03:59,02:51
20,06:52,05:45,04:55,04:18,03:50,02:45
25,06:52,05:45,04:55,04:18,03:50,02:45
30,06:52,05:45,04:55,04:18,03:50,02:45
35,06:54,05:47,04:56,04:19,03:52,02:46
40,07:05,05:55,05:04,04:26,03:58,02:50
45,07:23,06:10,05:16,04:37,04:07,02:57
50,07:42,06:26,05:30,04:49,04:18,03:05
55,08:03,06:44,05:45,05:02,04:30,03:13
60,08:26,07:03,06:02,05:16,04:43,03:23
65,08:52,07:24,06:20,05:32,04:57,03:33
70,09:20,07:48,06:40,05:50,05:13,03:44
75,09:58,08:20,07:07,06:14,05:34,03:59
80,11:00,09:12,07:51,06:52,06:09,04:24
85,12:39,10:34,09:02,07:54,07:04,05:04
90,15:27,12:55,11:02,09:39,08:38,06:11
